Harapan_Lama_Sekolah,Pengeluaran_Perkapita,Rerata_Lama_Sekolah,Usia_Harapan_Hidup,IPM
14.47,11,10.96,71.63,High
12.05,12,8.06,70.64,High
12.77,12,8.24,71.06,High
11.85,13,8.46,71.05,High
11.53,12,7.22,70.06,Normal
11.81,12,7.19,71.36,High
11.37,11,6.67,68.16,Normal
11.52,11,8.22,72.03,High
13.15,15,9.92,73.3,High
12.87,14,10.12,69.96,High
12.42,11,8.17,70.91,High
13.1,14,8.44,70.38,High
13.9,14,8.73,65.06,High
12.45,11,6.67,62.06,Normal
12.81,11,7.17,67.21,Normal
13.16,18,11.14,73.33,Very-High
14.12,15,10.25,72.1,High
12.98,18,11.13,72.91,Very-High
12.57,12,8.68,68.76,High
13.33,23,11.63,74.12,Very-High
13.86,17,11.66,74.47,Very-High
13.25,17,11.38,74.11,Very-High
12.8,20,10.63,73.62,Very-High
12.63,18,10.8,73.28,Very-High
12.5,10,8.55,73.04,High
12.48,10,8.3,71.17,High
12.23,8,7.07,70.97,Normal
11.99,7,7.18,70.13,Normal
12.69,10,8.96,73.53,High
11.91,7,7.52,71.41,Normal
12.53,7,7.35,69.47,Normal
14.06,9,7.7,71.83,High
12.22,9,7.57,73.59,Normal
12.25,10,6.92,71.99,Normal
12.22,9,7.27,70.27,Normal
12.97,10,8.51,72.43,High
12.25,9,6.3,71.63,Normal
11.7,10,7.1,72.35,Normal
12.11,11,8.09,70.99,High
12.09,11,7.77,72.15,High
13.09,11,9.12,73.68,High
11.87,8,8.19,72.34,Normal
12.07,9,7.74,71.4,Normal
13.41,11,10.33,73.61,High
13.47,10,9.59,72.42,High
14.2,16,10.75,74.28,Very-High
13.12,11,9.91,72.26,High
14,15,11.16,75.01,Very-High
13.92,15,11.28,74.44,Very-High
13.8,12,10.96,74.03,High
13.45,10,9.33,72.15,High
13.23,10,8.63,70.99,High
12.7,10,7.69,74.37,High
12.5,10,6.97,73.73,Normal
12.85,11,7.52,73.72,High
11.99,9,7.24,73.14,Normal
11.46,9,6.74,74.18,Normal
13.34,8,7.54,73.4,Normal
13.5,10,8.12,74.72,High
11.75,10,6.81,71.82,Normal
12.54,9,7.78,73.72,Normal
12.56,12,7.84,75.95,High
13.25,11,8.58,76.78,High
13.83,11,9.34,77.65,High
12.49,9,7.33,76.16,High
13.68,11,8.56,77.47,High
12.83,12,7.65,75.71,High
12.3,10,6.91,74.75,Normal
12.2,9,6.83,74.41,Normal
12.11,10,7.16,74.55,High
12.65,10,7.44,76.22,High
13.23,11,8.75,76.6,High
12.75,10,7.68,75.84,High
13.31,10,7.71,75.4,High
12.97,11,8.02,75.73,High
12.14,9,7.24,75.58,Normal
12.95,11,7.45,74.43,High
12.01,9,6.87,74.69,Normal
12.41,10,6.91,73.69,Normal
11.95,8,6.42,73.4,Normal
12.67,9,6.98,71.6,Normal
12.04,10,6.21,69.33,Normal
14.14,12,10.39,76.85,High
14.87,14,10.69,77.22,Very-High
15.41,15,10.42,77.4,Very-High
15.52,15,10.53,77.34,Very-High
12.84,12,8.96,74.38,High
13.05,12,8.51,74.46,High
15.59,14,9.55,74.99,High
14.26,10,8.86,75.24,High
15.17,15,9.55,73.86,Very-High
12.97,9,7.21,74.12,Normal
16.73,15,10.91,74.81,Very-High
17.43,18,11.46,74.65,Very-High
13.19,11,7.78,71.3,High
12.64,8,7.6,71.94,Normal
13.73,9,7.54,72.77,High
12.35,9,7.55,73.75,Normal
13.31,10,8.33,74.08,High
12.46,10,7.39,73.52,High
13.15,11,8.02,72.61,High
13.18,10,7.42,72.55,High
11.81,9,6.4,70.1,Normal
